ASV_id	AKh_Mar	MS_Mar	LT_Mar	AR_Mar	LT_May	AKh_Jun	AR_Jun	MS_Jun	AKh_Jul	MS_Jul	LT_Aug	AR_Jul	AKh_Sep	LT_Sep	AR_Sep	Taxa	Function
ASV15_Gymnodinium_n	1729	974	669	2643	494	77	11	65	18	0	0	0	0	31	0	Dinophyceae	Mixotrophs
ASV18_Teleaulax_amphioxeia_pn	164	163	70	59	120	183	46	77	889	128	354	460	2133	698	1103	Cryptophyta	Mixotrophs
ASV16_Histiobalantium_ps	738	1532	987	1287	280	75	35	109	357	533	0	0	0	11	9	Ciliophora	Heterotrophs
ASV19_Sphaeroeca_volvox_ps	3	6	10	0	5454	285	51	121	0	0	0	0	0	0	0	Choanoflagellida	Heterotrophs
ASV17_Katablepharidales_pn	212	469	156	325	214	550	235	330	72	369	1234	486	450	661	78	Katablepharidophyta	Heterotrophs
ASV21_MAST-2_ps	150	104	189	147	113	81	21	131	73	832	1199	460	575	787	448	Pseudofungi	Heterotrophs
ASV23_Paraphelidium_sn	0	0	0	0	0	0	0	0	2651	240	6	2299	12	0	0	Fungi	Parasits
ASV22_Spumella_elongata_p	0	0	0	17	0	0	0	0	630	952	2394	687	268	161	57	Chrysophyceae	Mixotrophs
ASV25_Strobilidiidae_p	14	0	360	0	103	32	5	53	57	54	3076	238	347	472	19	Ciliophora	Heterotrophs
ASV20_Nannochloropsis_limnetica_pn	583	285	387	197	274	260	768	179	372	33	21	819	197	16	437	Eustigmatophyceae	Autotrophs
ASV27_Woloszynskia_pascheri_sn	0	0	0	0	0	0	0	0	225	951	1491	765	178	547	71	Dinophyceae	Mixotrophs
ASV26_Choricystis_minor_pn	264	257	583	27	372	140	597	76	115	10	96	676	197	120	478	Chlorophyta	Autotrophs
ASV28_Cryptophyceae_ps	0	0	0	0	587	793	218	435	113	25	102	57	654	425	291	Cryptophyta	Mixotrophs
ASV24_Cryptomycota_LKM11_s	0	0	0	0	53	886	1582	760	0	0	0	74	0	0	0	Fungi	Parasits
ASV38_Cryptomonas_curvata_sn	24	30	12	12	0	0	22	11	0	0	0	5	212	0	2860	Cryptophyta	Mixotrophs
ASV36_Stephanodiscus_pn	5	17	0	0	0	0	37	0	9	31	198	59	689	1758	277	Bacillariophyta	Autotrophs
ASV35_Uroglenopsis_p	0	0	0	0	0	11	0	0	23	463	0	1915	246	70	0	Chrysophyceae	Mixotrophs
ASV43_Teleaulax_sn	46	39	21	20	18	0	12	17	341	50	128	189	852	438	480	Cryptophyta	Mixotrophs
ASV29_Ulnaria_acus_n	148	49	74	30	139	197	1729	127	8	23	0	11	0	0	0	Bacillariophyta	Autotrophs
ASV34_Strombidiida_p	583	318	390	645	33	36	7	69	158	10	93	53	0	87	0	Ciliophora	Heterotrophs
ASV33_Choricystis_pn	206	281	213	45	211	137	254	91	139	24	155	430	89	46	159	Chlorophyta	Autotrophs
ASV30_Chrysophyceae_ps	37	39	0	22	22	1147	418	740	0	0	0	0	0	0	0	Chrysophyceae	Mixotrophs
