ASV_id	BD28	BD29	BD31	BD45	BD70	BD76	BD77	BD86	BD87	BD88	BD89	BD90	BD91	BD93	BD94	total
ASV_246	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	84
ASV_247	23	0	0	0	0	0	0	0	0	39	0	21	0	0	0	83
ASV_248	0	0	0	0	5	0	0	0	0	0	0	0	23	6	49	83
ASV_250	7	8	0	10	6	5	0	0	0	5	21	20	0	0	0	82
ASV_251	0	0	0	0	0	0	0	0	16	20	29	17	0	0	0	82
ASV_252	8	73	0	0	0	0	0	0	0	0	0	0	0	0	0	81
ASV_253	0	4	0	4	0	0	0	0	0	0	0	0	16	3	54	81
ASV_254	0	0	0	0	0	0	14	0	12	4	10	30	0	0	11	81
ASV_255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	81
ASV_256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80
ASV_259	17	19	0	22	0	0	20	0	0	0	0	0	0	0	0	78
ASV_260	0	0	0	0	12	19	0	10	0	20	16	0	0	0	0	77
ASV_261	7	31	0	11	23	0	4	0	0	0	0	0	0	0	0	76
ASV_262	3	0	0	5	11	0	0	0	0	23	29	0	0	4	0	75
ASV_263	0	0	0	0	38	9	8	0	0	0	13	4	0	0	3	75
ASV_264	34	37	0	0	0	0	0	0	0	0	0	0	0	0	0	71
ASV_265	0	0	0	0	0	0	25	0	3	0	0	23	0	0	20	71
ASV_266	9	0	0	21	0	8	0	16	0	0	16	0	0	0	0	70
ASV_267	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	70
ASV_269	0	0	0	0	0	0	0	4	0	41	0	17	5	0	0	67
ASV_270	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	66
ASV_272	10	6	0	9	9	8	0	11	0	6	0	3	3	0	0	65
ASV_274	31	0	0	0	12	0	21	0	0	0	0	0	0	0	0	64
ASV_275	0	0	0	4	11	0	10	0	0	0	13	8	2	6	10	64
ASV_276	0	0	0	0	6	0	12	0	0	9	13	10	4	10	0	64
ASV_278	0	6	0	0	5	0	0	0	0	0	7	0	12	12	20	62
ASV_279	0	0	30	0	0	0	24	0	8	0	0	0	0	0	0	62
ASV_280	0	0	0	0	0	13	21	0	11	0	0	17	0	0	0	62
ASV_281	14	0	0	0	0	0	0	0	0	0	0	47	0	0	0	61
ASV_282	14	0	0	0	4	12	0	0	15	16	0	0	0	0	0	61
ASV_283	9	0	0	36	0	0	0	0	0	0	0	16	0	0	0	61
ASV_285	0	0	0	0	15	0	0	0	0	22	15	9	0	0	0	61
ASV_286	0	0	0	0	0	0	5	0	13	16	7	20	0	0	0	61
ASV_287	5	0	0	0	0	7	0	0	0	22	20	0	0	5	0	59
ASV_288	0	0	0	15	0	3	16	0	0	0	0	15	0	0	9	58
ASV_289	0	0	0	0	35	18	5	0	0	0	0	0	0	0	0	58
ASV_290	0	0	0	0	0	0	11	0	0	0	0	47	0	0	0	58
ASV_293	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	56
ASV_294	0	0	0	0	0	0	0	0	0	0	0	45	0	0	11	56
ASV_295	0	8	0	0	0	0	0	0	0	0	0	0	12	8	27	55
ASV_296	0	1	4	1	0	13	16	3	0	0	11	6	0	0	0	55
ASV_297	14	10	0	17	7	6	0	0	0	0	0	0	0	0	0	54
ASV_298	8	19	0	17	5	5	0	0	0	0	0	0	0	0	0	54
ASV_299	0	0	0	0	0	0	0	0	0	8	4	0	10	5	27	54
ASV_300	0	0	0	0	0	0	0	0	0	0	0	38	16	0	0	54
ASV_301	7	13	0	19	6	0	8	0	0	0	0	0	0	0	0	53
ASV_302	0	0	0	0	0	0	0	0	3	8	42	0	0	0	0	53
ASV_304	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	52
ASV_305	0	1	0	0	0	0	0	0	0	0	0	0	26	8	17	52
ASV_306	0	0	0	0	0	0	0	0	0	0	0	0	35	17	0	52
ASV_307	5	22	0	4	11	6	0	3	0	0	0	0	0	0	0	51
ASV_308	9	19	0	22	0	0	0	0	0	0	0	0	0	0	0	50
ASV_309	0	0	0	0	2	0	0	0	4	4	7	11	12	4	6	50
ASV_310	0	0	0	0	0	0	0	0	25	0	0	11	10	4	0	50
ASV_311	0	0	0	0	0	0	0	0	0	12	19	17	0	2	0	50
ASV_312	0	0	0	0	0	0	0	0	0	0	0	0	2	7	41	50
ASV_313	8	10	0	0	4	5	16	0	0	0	3	3	0	0	0	49
ASV_314	0	0	0	0	0	18	0	0	0	31	0	0	0	0	0	49
ASV_315	0	0	0	10	12	0	0	4	0	0	0	4	5	9	4	48
ASV_316	0	0	0	0	10	0	0	0	0	0	0	0	20	18	0	48
ASV_318	0	0	0	0	0	0	0	0	15	0	0	33	0	0	0	48
ASV_319	0	0	0	0	0	0	0	0	0	10	13	0	0	25	0	48
ASV_321	0	33	0	0	0	0	14	0	0	0	0	0	0	0	0	47
ASV_322	0	18	4	10	11	4	0	0	0	0	0	0	0	0	0	47
ASV_323	0	12	0	0	0	7	9	0	0	0	0	16	0	0	3	47
ASV_324	0	8	0	0	0	0	0	0	0	11	0	0	14	0	14	47
ASV_325	0	0	0	15	0	0	0	0	0	0	0	0	6	26	0	47
ASV_326	0	0	0	0	0	22	14	11	0	0	0	0	0	0	0	47
ASV_328	0	0	0	0	0	22	11	0	0	0	0	0	0	0	13	46
ASV_329	0	0	0	0	0	8	0	0	0	0	0	0	7	8	23	46
ASV_331	0	9	0	14	3	0	19	0	0	0	0	0	0	0	0	45
ASV_332	0	0	0	0	0	0	0	0	0	0	8	0	22	15	0	45
ASV_333	0	0	0	0	0	0	34	0	0	0	0	10	0	0	0	44
ASV_334	0	0	0	0	0	0	0	0	0	5	0	39	0	0	0	44
ASV_335	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	44
ASV_336	0	0	0	0	0	0	0	0	0	0	0	0	2	22	20	44
ASV_337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	44
ASV_338	7	0	0	10	0	0	0	0	0	0	0	0	0	25	0	42
ASV_339	6	0	0	0	0	0	0	0	0	8	0	0	11	9	8	42
ASV_340	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	41
ASV_341	6	0	0	11	0	9	14	0	0	0	0	0	0	0	0	40
ASV_342	5	0	0	5	0	12	6	3	4	0	0	5	0	0	0	40
ASV_343	0	0	0	0	0	6	0	34	0	0	0	0	0	0	0	40
ASV_344	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	40
ASV_346	0	0	3	0	6	0	0	0	0	0	0	0	8	12	10	39
ASV_347	0	0	0	0	0	0	0	0	0	25	14	0	0	0	0	39
ASV_348	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	39
ASV_349	0	8	0	0	0	8	0	0	0	0	0	0	0	0	22	38
ASV_350	0	0	29	9	0	0	0	0	0	0	0	0	0	0	0	38
ASV_351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	38
ASV_352	22	14	0	0	0	0	0	0	0	0	0	0	0	0	0	36
ASV_356	0	0	0	0	0	0	0	0	0	0	22	14	0	0	0	36
ASV_357	0	0	0	0	0	0	0	0	0	0	0	0	16	0	20	36
ASV_358	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	35
ASV_359	0	0	0	0	7	0	0	0	0	11	10	0	0	7	0	35
ASV_361	0	0	0	0	0	2	31	0	0	0	0	0	0	0	2	35
ASV_362	0	0	0	0	0	0	0	19	3	4	0	9	0	0	0	35
ASV_364	0	0	0	10	0	0	0	0	21	0	0	0	0	0	3	34
ASV_365	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	34
ASV_366	0	0	0	0	0	0	0	0	0	0	0	0	14	17	3	34
ASV_367	0	0	0	0	0	0	0	0	0	0	0	0	8	12	14	34
ASV_368	18	0	5	10	0	0	0	0	0	0	0	0	0	0	0	33
ASV_369	4	7	0	4	12	0	6	0	0	0	0	0	0	0	0	33
ASV_370	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	33
ASV_371	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	33
ASV_372	0	0	0	0	5	0	0	0	5	0	18	0	5	0	0	33
ASV_373	6	6	0	5	5	8	0	0	0	0	2	0	0	0	0	32
ASV_374	5	0	0	0	13	14	0	0	0	0	0	0	0	0	0	32
ASV_375	0	9	0	0	0	0	0	5	0	0	8	10	0	0	0	32
ASV_376	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	32
ASV_377	0	0	0	0	0	0	0	0	0	0	0	0	0	20	12	32
ASV_378	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	31
ASV_380	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	31
ASV_381	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	31
ASV_382	0	0	0	0	0	0	0	0	0	13	0	18	0	0	0	31
ASV_383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	31
ASV_384	0	0	0	15	0	0	0	0	0	0	0	0	10	0	5	30
ASV_385	0	0	0	9	17	0	0	0	0	0	0	0	0	0	4	30
ASV_386	0	0	0	8	8	7	0	0	7	0	0	0	0	0	0	30
ASV_387	0	0	0	0	0	0	0	0	0	2	28	0	0	0	0	30
ASV_388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	30
ASV_389	5	0	0	0	0	6	0	0	0	2	0	0	7	0	9	29
ASV_390	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	29
ASV_392	0	0	0	0	0	5	24	0	0	0	0	0	0	0	0	29
ASV_394	0	0	0	0	0	0	10	0	0	0	0	0	3	0	16	29
ASV_395	0	5	0	4	19	0	0	0	0	0	0	0	0	0	0	28
ASV_396	0	0	1	0	1	0	8	0	0	0	0	2	0	15	1	28
ASV_397	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	28
ASV_398	0	0	0	0	15	0	0	0	0	0	12	0	0	0	0	27
ASV_399	0	0	0	0	12	0	0	0	0	0	0	0	15	0	0	27
ASV_400	0	0	3	0	4	0	15	4	0	0	0	0	0	0	0	26
ASV_401	0	0	0	0	16	0	0	0	0	0	0	0	0	10	0	26
ASV_402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26
ASV_403	4	12	0	9	0	0	0	0	0	0	0	0	0	0	0	25
ASV_404	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	25
ASV_405	0	0	0	0	17	8	0	0	0	0	0	0	0	0	0	25
ASV_406	0	0	0	0	10	10	5	0	0	0	0	0	0	0	0	25
ASV_407	0	0	0	0	0	12	13	0	0	0	0	0	0	0	0	25
ASV_408	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	25
ASV_409	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	25
ASV_410	0	0	0	0	0	0	0	0	0	9	8	8	0	0	0	25
ASV_411	0	0	0	0	0	0	0	0	0	0	0	8	0	17	0	25
ASV_412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	25
ASV_413	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	24
ASV_414	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	24
ASV_415	0	0	0	0	0	0	0	0	0	0	0	0	7	6	11	24
ASV_416	0	0	0	0	0	0	0	0	0	0	0	0	6	0	18	24
ASV_417	0	0	0	0	0	0	0	0	0	0	0	0	0	13	11	24
ASV_418	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	23
ASV_419	16	0	0	7	0	0	0	0	0	0	0	0	0	0	0	23
ASV_420	11	0	0	12	0	0	0	0	0	0	0	0	0	0	0	23
ASV_421	7	10	0	6	0	0	0	0	0	0	0	0	0	0	0	23
ASV_423	0	5	0	0	0	5	11	2	0	0	0	0	0	0	0	23
ASV_424	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	23
ASV_425	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	23
